Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Comment,Molecule Max Phase,Activity µM,canonical_smiles,NEW_SMILES
CHEMBL1568810,,Cc1cc2c(NC(=O)Nc3ccc(C(C)(C)C)cc3)cccc2nn1,Potency,'=',15848.9,nM,Active,,15.85,Cc1cc2c(NC(=O)Nc3ccc(C(C)(C)C)cc3)cccc2nn1,Cc1cc2c(NC(=O)Nc3ccc(C(C)(C)C)cc3)cccc2nn1
CHEMBL1376135,,CCOC(=O)c1sc(=S)n(Cc2ccccc2)c1N,Potency,'=',15848.9,nM,Active,,15.85,CCOC(=O)c1sc(=S)n(Cc2ccccc2)c1N,CCOC(=O)c1sc(=S)n(Cc2ccccc2)c1N
CHEMBL1306460,,CC1=C([N+](=O)[O-])C(c2ccccc2)C2=C(O)c3ccccc3C2=N1,Potency,'=',15848.9,nM,Active,,15.85,CC1=C([N+](=O)[O-])C(c2ccccc2)C2=C(O)c3ccccc3C2=N1,CC1=C([N+](=O)[O-])C(c2ccccc2)C2=C(O)c3ccccc3C2=N1
CHEMBL1483047,,O=C(NNc1ccccc1[N+](=O)[O-])Nc1ccc(Cl)c(Cl)c1,Potency,'=',15848.9,nM,Active,,15.85,O=C(NNc1ccccc1[N+](=O)[O-])Nc1ccc(Cl)c(Cl)c1,O=C(NNc1ccccc1[N+](=O)[O-])Nc1ccc(Cl)c(Cl)c1
CHEMBL1338987,,COc1ccc(N=C(S)NC(NC(=O)CCl)C(Cl)(Cl)Cl)c([N+](=O)[O-])c1,Potency,'=',15848.9,nM,Active,,15.85,COc1ccc(N=C(S)NC(NC(=O)CCl)C(Cl)(Cl)Cl)c([N+](=O)[O-])c1,COc1ccc(N=C(S)NC(NC(=O)CCl)C(Cl)(Cl)Cl)c([N+](=O)[O-])c1
CHEMBL1314982,,COc1ccc2c(c1OC)C(Cc1ccccc1)N1CCc3cc4c(cc3C1=C2)OCO4,Potency,'=',15848.9,nM,Active,,15.85,COc1ccc2c(c1OC)C(Cc1ccccc1)N1CCc3cc4c(cc3C1=C2)OCO4,COc1ccc2c(c1OC)C(Cc1ccccc1)N1CCc3cc4c(cc3C1=C2)OCO4
CHEMBL1577840,,Cc1ccc(C=C2C(Cl)=C(Cl)C(Cl)=C2Cl)cc1,Potency,'=',15848.9,nM,Active,,15.85,Cc1ccc(C=C2C(Cl)=C(Cl)C(Cl)=C2Cl)cc1,Cc1ccc(C=C2C(Cl)=C(Cl)C(Cl)=C2Cl)cc1
CHEMBL1335518,,COc1ccc2[nH]c(C)c(CCN=C(S)Nc3cccc(C)c3)c2c1,Potency,'=',15848.9,nM,Active,,15.85,COc1ccc2[nH]c(C)c(CCN=C(S)Nc3cccc(C)c3)c2c1,COc1ccc2[nH]c(C)c(CCN=C(S)Nc3cccc(C)c3)c2c1
CHEMBL3190069,,COc1cccc(N/N=C2/C(=O)Nn3c2nc(C)cc3=O)c1,Potency,'=',15848.9,nM,Active,,15.85,COc1cccc(N/N=C2/C(=O)Nn3c2nc(C)cc3=O)c1,COc1cccc(N/N=C2/C(=O)Nn3c2nc(C)cc3=O)c1
CHEMBL3192461,,Cc1ccc(S(=O)(=O)NC2=C(N3CCN(c4ccccc4F)CC3)C(=O)c3ccccc3C2=O)cc1,Potency,'=',15848.9,nM,Active,,15.85,Cc1ccc(S(=O)(=O)NC2=C(N3CCN(c4ccccc4F)CC3)C(=O)c3ccccc3C2=O)cc1,Cc1ccc(S(=O)(=O)NC2=C(N3CCN(c4ccccc4F)CC3)C(=O)c3ccccc3C2=O)cc1
CHEMBL1326892,,Cl.NC(=O)C(=CNc1nc(-c2ccc(Cl)c(Cl)c2)cs1)C(N)=O,Potency,'=',15848.9,nM,Active,,15.85,Cl.NC(=O)C(=CNc1nc(-c2ccc(Cl)c(Cl)c2)cs1)C(N)=O,NC(=O)C(=CNc1nc(-c2ccc(Cl)c(Cl)c2)cs1)C(N)=O
CHEMBL1571560,,N#CC1=C(N)Oc2c(sc3ccccc23)C1c1ccco1,Potency,'=',15848.9,nM,Active,,15.85,N#CC1=C(N)Oc2c(sc3ccccc23)C1c1ccco1,N#CC1=C(N)Oc2c(sc3ccccc23)C1c1ccco1
CHEMBL1536107,,Oc1ccc2ccccc2c1N=Nc1ccccc1F,Potency,'=',15848.9,nM,Active,,15.85,Oc1ccc2ccccc2c1N=Nc1ccccc1F,Oc1ccc2ccccc2c1N=Nc1ccccc1F
CHEMBL1533544,,COc1cc(-c2nc3sccn3c2Nc2c(C)cccc2C)ccc1O,Potency,'=',15848.9,nM,Active,,15.85,COc1cc(-c2nc3sccn3c2Nc2c(C)cccc2C)ccc1O,COc1cc(-c2nc3sccn3c2Nc2c(C)cccc2C)ccc1O
CHEMBL1417967,,Clc1cccc(NC2=NN=C(c3ccc4c(c3)OCCO4)CS2)c1,Potency,'=',15848.9,nM,Active,,15.85,Clc1cccc(NC2=NN=C(c3ccc4c(c3)OCCO4)CS2)c1,Clc1cccc(NC2=NN=C(c3ccc4c(c3)OCCO4)CS2)c1
CHEMBL1551915,,CC(=O)[C@@H]1[C@H]2[C@H](C(=O)[C@H]3OC[C@@H]2O3)[C@H]2C=Cc3ccccc3N21,Potency,'=',15848.9,nM,Active,,15.85,CC(=O)[C@@H]1[C@H]2[C@H](C(=O)[C@H]3OC[C@@H]2O3)[C@H]2C=Cc3ccccc3N21,CC(=O)[C@@H]1[C@H]2[C@H](C(=O)[C@H]3OC[C@@H]2O3)[C@H]2C=Cc3ccccc3N21
CHEMBL3193209,,O=C(N/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1)C(O)c1ccccc1,Potency,'=',15848.9,nM,Active,,15.85,O=C(N/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1)C(O)c1ccccc1,O=C(N/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1)C(O)c1ccccc1
CHEMBL1346205,,CC(C)c1ccc(N2C(=O)NC(=O)/C(=C/c3cnc(-c4ccccc4)nc3)C2=O)cc1,Potency,'=',15848.9,nM,Active,,15.85,CC(C)c1ccc(N2C(=O)NC(=O)/C(=C/c3cnc(-c4ccccc4)nc3)C2=O)cc1,CC(C)c1ccc(N2C(=O)NC(=O)/C(=C/c3cnc(-c4ccccc4)nc3)C2=O)cc1
CHEMBL1341444,,O=C1NN(c2ccccc2)C(=O)/C1=C\c1cccc(OC(=O)c2cccs2)c1,Potency,'=',15848.9,nM,Active,,15.85,O=C1NN(c2ccccc2)C(=O)/C1=C\c1cccc(OC(=O)c2cccs2)c1,O=C1NN(c2ccccc2)C(=O)/C1=C\c1cccc(OC(=O)c2cccs2)c1
CHEMBL1304659,,C=CCn1c(O)c(CN2CCN(Cc3ccccc3)CC2)c(C)c(C#N)c1=O,Potency,'=',15848.9,nM,Active,,15.85,C=CCn1c(O)c(CN2CCN(Cc3ccccc3)CC2)c(C)c(C#N)c1=O,C=CCn1c(O)c(CN2CCN(Cc3ccccc3)CC2)c(C)c(C#N)c1=O
CHEMBL1412812,,CC(C)S(=O)(=O)c1csc(NC(=O)Nc2ccc(Cl)cc2)c1,Potency,'=',15848.9,nM,Active,,15.85,CC(C)S(=O)(=O)c1csc(NC(=O)Nc2ccc(Cl)cc2)c1,CC(C)S(=O)(=O)c1csc(NC(=O)Nc2ccc(Cl)cc2)c1
CHEMBL1364967,,COc1cccc(=O)c2c(C)n(-c3ccc(C(=O)O)cc3)c(C)c12,Potency,'=',15848.9,nM,Active,,15.85,COc1cccc(=O)c2c(C)n(-c3ccc(C(=O)O)cc3)c(C)c12,COc1cccc(=O)c2c(C)n(-c3ccc(C(=O)O)cc3)c(C)c12
CHEMBL1375958,,S=C(c1ccc(-c2cccc(Cl)c2)o1)N1CCOCC1,Potency,'=',15848.9,nM,Active,,15.85,S=C(c1ccc(-c2cccc(Cl)c2)o1)N1CCOCC1,S=C(c1ccc(-c2cccc(Cl)c2)o1)N1CCOCC1
CHEMBL1532766,,CN1c2ccccc2N(C)C1(C)c1cccc2ccccc12,Potency,'=',15848.9,nM,Active,,15.85,CN1c2ccccc2N(C)C1(C)c1cccc2ccccc12,CN1c2ccccc2N(C)C1(C)c1cccc2ccccc12
CHEMBL1401676,,O=C(O)c1ccc(N=Nc2c(O)[nH]c3ccccc23)cc1,Potency,'=',15848.9,nM,Active,,15.85,O=C(O)c1ccc(N=Nc2c(O)[nH]c3ccccc23)cc1,O=C(O)c1ccc(N=Nc2c(O)[nH]c3ccccc23)cc1
CHEMBL1299979,,C=CCSc1nnc2[nH]c3nc4c(C)cccc4c-3nn12,Potency,'=',15848.9,nM,Active,,15.85,C=CCSc1nnc2[nH]c3nc4c(C)cccc4c-3nn12,C=CCSc1nnc2[nH]c3nc4c(C)cccc4c-3nn12
CHEMBL1445168,,N=c1c(-c2nc3ccccc3[nH]2)cc(C(=O)c2ccco2)nn1-c1ccccc1,Potency,'=',15848.9,nM,Active,,15.85,N=c1c(-c2nc3ccccc3[nH]2)cc(C(=O)c2ccco2)nn1-c1ccccc1,N=c1c(-c2nc3ccccc3[nH]2)cc(C(=O)c2ccco2)nn1-c1ccccc1
CHEMBL1570871,,CC1=NOC(=O)/C1=C\c1ccc(-c2cccc(Cl)c2)o1,Potency,'=',15848.9,nM,Active,,15.85,CC1=NOC(=O)/C1=C\c1ccc(-c2cccc(Cl)c2)o1,CC1=NOC(=O)/C1=C\c1ccc(-c2cccc(Cl)c2)o1
CHEMBL1387072,,COc1ccc2nc3sc(C(=O)NCc4cccs4)c(N)c3cc2c1,Potency,'=',15848.9,nM,Active,,15.85,COc1ccc2nc3sc(C(=O)NCc4cccs4)c(N)c3cc2c1,COc1ccc2nc3sc(C(=O)NCc4cccs4)c(N)c3cc2c1
CHEMBL3189901,,COc1ccc2o/c(=N\O)c(C(=O)Nc3ccc(C)cc3)cc2c1,Potency,'=',15848.9,nM,Active,,15.85,COc1ccc2o/c(=N\O)c(C(=O)Nc3ccc(C)cc3)cc2c1,COc1ccc2o/c(=N\O)c(C(=O)Nc3ccc(C)cc3)cc2c1
CHEMBL1518126,,O=S(=O)(Nc1ccc(N=Nc2ccccc2)cc1)c1ccccc1,Potency,'=',15848.9,nM,Active,,15.85,O=S(=O)(Nc1ccc(N=Nc2ccccc2)cc1)c1ccccc1,O=S(=O)(Nc1ccc(N=Nc2ccccc2)cc1)c1ccccc1
CHEMBL1332241,,CN1C(=O)/C(=C/c2cccn2-c2ccc3ccccc3c2)C(=O)NC1=S,Potency,'=',15848.9,nM,Active,,15.85,CN1C(=O)/C(=C/c2cccn2-c2ccc3ccccc3c2)C(=O)NC1=S,CN1C(=O)/C(=C/c2cccn2-c2ccc3ccccc3c2)C(=O)NC1=S
CHEMBL1491528,,COc1ccc(C(=O)COC(=O)c2ccccc2NS(=O)(=O)c2ccc(O)c([N+](=O)[O-])c2)cc1,Potency,'=',15848.9,nM,Active,,15.85,COc1ccc(C(=O)COC(=O)c2ccccc2NS(=O)(=O)c2ccc(O)c([N+](=O)[O-])c2)cc1,COc1ccc(C(=O)COC(=O)c2ccccc2NS(=O)(=O)c2ccc(O)c([N+](=O)[O-])c2)cc1
CHEMBL211481,,N#Cc1c(O)nsc1Nc1ccccc1C(F)(F)F,Potency,'=',15848.9,nM,Active,,15.85,N#Cc1c(O)nsc1Nc1ccccc1C(F)(F)F,N#Cc1c(O)nsc1Nc1ccccc1C(F)(F)F
CHEMBL1346860,,COc1ccc(-c2oc(NC(=O)CCl)c(C#N)c2-c2ccc(OC)cc2)cc1,Potency,'=',15848.9,nM,Active,,15.85,COc1ccc(-c2oc(NC(=O)CCl)c(C#N)c2-c2ccc(OC)cc2)cc1,COc1ccc(-c2oc(NC(=O)CCl)c(C#N)c2-c2ccc(OC)cc2)cc1
CHEMBL1594911,,CCCN1CCc2c(sc(NC(=S)NC(=O)c3ccccc3)c2C#N)C1,Potency,'=',15848.9,nM,Active,,15.85,CCCN1CCc2c(sc(NC(=S)NC(=O)c3ccccc3)c2C#N)C1,CCCN1CCc2c(sc(NC(=S)NC(=O)c3ccccc3)c2C#N)C1
CHEMBL1343063,,COc1cc(Br)cc(CNc2ccc(F)c([N+](=O)[O-])c2)c1O,Potency,'=',15848.9,nM,Active,,15.85,COc1cc(Br)cc(CNc2ccc(F)c([N+](=O)[O-])c2)c1O,COc1cc(Br)cc(CNc2ccc(F)c([N+](=O)[O-])c2)c1O
CHEMBL1320360,,O=S(=O)(NCc1ccc(F)cc1)c1ccc2[nH]c3c(c2c1)CCCCC3,Potency,'=',15848.9,nM,Active,,15.85,O=S(=O)(NCc1ccc(F)cc1)c1ccc2[nH]c3c(c2c1)CCCCC3,O=S(=O)(NCc1ccc(F)cc1)c1ccc2[nH]c3c(c2c1)CCCCC3
CHEMBL1440147,,CCNc1ccc(N=Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1,Potency,'=',15848.9,nM,Active,,15.85,CCNc1ccc(N=Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1,CCNc1ccc(N=Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
CHEMBL1424355,,COc1ccc(-c2cc(-c3cc(C)ccc3O)[nH]n2)cc1,Potency,'=',15848.9,nM,Active,,15.85,COc1ccc(-c2cc(-c3cc(C)ccc3O)[nH]n2)cc1,COc1ccc(-c2cc(-c3cc(C)ccc3O)[nH]n2)cc1
CHEMBL1524515,,CN(C)CCCNc1cc(C(C)(C)C)nc2c(-c3ccc(Cl)cc3)cnn12,Potency,'=',15848.9,nM,Active,,15.85,CN(C)CCCNc1cc(C(C)(C)C)nc2c(-c3ccc(Cl)cc3)cnn12,CN(C)CCCNc1cc(C(C)(C)C)nc2c(-c3ccc(Cl)cc3)cnn12
CHEMBL1438768,,Cn1c(CCN2CCCCCC2)nc2cc(NC(=O)Nc3ccccc3)ccc21,Potency,'=',15848.9,nM,Active,,15.85,Cn1c(CCN2CCCCCC2)nc2cc(NC(=O)Nc3ccccc3)ccc21,Cn1c(CCN2CCCCCC2)nc2cc(NC(=O)Nc3ccccc3)ccc21
CHEMBL1485579,,COc1cccc(-c2nc(NC(C)C)c3ccccc3n2)c1O,Potency,'=',15848.9,nM,Active,,15.85,COc1cccc(-c2nc(NC(C)C)c3ccccc3n2)c1O,COc1cccc(-c2nc(NC(C)C)c3ccccc3n2)c1O
CHEMBL1515137,,COC(=O)[C@@]1(C)CCC[C@@]2(C)c3ccc(O)c(C(C)C)c3CCC21,Potency,'=',15848.9,nM,Active,,15.85,COC(=O)[C@@]1(C)CCC[C@@]2(C)c3ccc(O)c(C(C)C)c3CCC21,COC(=O)[C@@]1(C)CCC[C@@]2(C)c3ccc(O)c(C(C)C)c3CCC21
CHEMBL1390586,,CC(=O)Nc1cccc(C(=O)OC(C(=O)c2ccc(C)c(C)c2)c2ccccc2)c1,Potency,'=',15848.9,nM,Active,,15.85,CC(=O)Nc1cccc(C(=O)OC(C(=O)c2ccc(C)c(C)c2)c2ccccc2)c1,CC(=O)Nc1cccc(C(=O)OC(C(=O)c2ccc(C)c(C)c2)c2ccccc2)c1
CHEMBL2361495,,O=[N+]([O-])c1ccc(-c2ccc(/C=N/c3cccc4ccccc34)o2)cc1,Potency,'=',15848.9,nM,Active,,15.85,O=[N+]([O-])c1ccc(-c2ccc(/C=N/c3cccc4ccccc34)o2)cc1,O=[N+]([O-])c1ccc(-c2ccc(/C=N/c3cccc4ccccc34)o2)cc1
CHEMBL1321033,,CC(=O)c1c(C)c(C)c2n1CCn1c(C)ccc1-2,Potency,'=',15848.9,nM,Active,,15.85,CC(=O)c1c(C)c(C)c2n1CCn1c(C)ccc1-2,CC(=O)c1c(C)c(C)c2n1CCn1c(C)ccc1-2
CHEMBL1369742,,Cc1cc2ccccn2c1C(=S)NC(=O)c1ccccc1,Potency,'=',15848.9,nM,Active,,15.85,Cc1cc2ccccn2c1C(=S)NC(=O)c1ccccc1,Cc1cc2ccccn2c1C(=S)NC(=O)c1ccccc1
CHEMBL1610706,,CCCC(C)C(=O)Nc1nc(C)c(-c2csc(Nc3ccc(Cl)cc3)n2)s1,Potency,'=',15848.9,nM,Active,,15.85,CCCC(C)C(=O)Nc1nc(C)c(-c2csc(Nc3ccc(Cl)cc3)n2)s1,CCCC(C)C(=O)Nc1nc(C)c(-c2csc(Nc3ccc(Cl)cc3)n2)s1
CHEMBL1302300,,CCn1c2ccc(Cl)cc2c2nc3ccccc3nc21,Potency,'=',15848.9,nM,Active,,15.85,CCn1c2ccc(Cl)cc2c2nc3ccccc3nc21,CCn1c2ccc(Cl)cc2c2nc3ccccc3nc21
CHEMBL1312189,,COC(=O)c1cc2c(-c3ccccc3)c(C)c3ccccn3c-2c1C(=O)OC,Potency,'=',15848.9,nM,Active,,15.85,COC(=O)c1cc2c(-c3ccccc3)c(C)c3ccccn3c-2c1C(=O)OC,COC(=O)c1cc2c(-c3ccccc3)c(C)c3ccccn3c-2c1C(=O)OC
CHEMBL1399928,,Nc1[nH]c(N=Nc2nc(-c3ccc(Cl)cc3)cs2)c2ccccc12,Potency,'=',15848.9,nM,Active,,15.85,Nc1[nH]c(N=Nc2nc(-c3ccc(Cl)cc3)cs2)c2ccccc12,Nc1[nH]c(N=Nc2nc(-c3ccc(Cl)cc3)cs2)c2ccccc12
CHEMBL1541324,,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@H]3C=CC(=O)[C@]3(O)C[C@@H]12,Potency,'=',15848.9,nM,Active,,15.85,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@H]3C=CC(=O)[C@]3(O)C[C@@H]12,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@H]3C=CC(=O)[C@]3(O)C[C@@H]12
CHEMBL1530741,,Cc1ccc(/C=C2\SC(=S)N(CC3CCCO3)C2=O)o1,Potency,'=',15848.9,nM,Active,,15.85,Cc1ccc(/C=C2\SC(=S)N(CC3CCCO3)C2=O)o1,Cc1ccc(/C=C2\SC(=S)N(CC3CCCO3)C2=O)o1
CHEMBL1566203,,Cc1ccc(/C=C2\SC(=S)N(c3cccnc3)C2=O)o1,Potency,'=',15848.9,nM,Active,,15.85,Cc1ccc(/C=C2\SC(=S)N(c3cccnc3)C2=O)o1,Cc1ccc(/C=C2\SC(=S)N(c3cccnc3)C2=O)o1
CHEMBL1438078,,Cc1cccc(NC(=O)c2sc3nc4c(c(-c5cccs5)c3c2N)CN(C)CC4)c1,Potency,'=',15848.9,nM,Active,,15.85,Cc1cccc(NC(=O)c2sc3nc4c(c(-c5cccs5)c3c2N)CN(C)CC4)c1,Cc1cccc(NC(=O)c2sc3nc4c(c(-c5cccs5)c3c2N)CN(C)CC4)c1
CHEMBL1482466,,Cc1ccc(C(=O)c2ccccc2C(=O)OCC(=O)Nc2cccc([N+](=O)[O-])c2)cc1,Potency,'=',15848.9,nM,Active,,15.85,Cc1ccc(C(=O)c2ccccc2C(=O)OCC(=O)Nc2cccc([N+](=O)[O-])c2)cc1,Cc1ccc(C(=O)c2ccccc2C(=O)OCC(=O)Nc2cccc([N+](=O)[O-])c2)cc1
CHEMBL1309157,,CC1=C(C#N)C(=O)NC(=O)/C1=C/c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1,Potency,'=',15848.9,nM,Active,,15.85,CC1=C(C#N)C(=O)NC(=O)/C1=C/c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1,CC1=C(C#N)C(=O)NC(=O)/C1=C/c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1
CHEMBL1466137,,CN(C)c1ccc(/C=C2/C(=O)N(c3ccc([N+](=O)[O-])cc3)N=C2N2CCOCC2)cc1,Potency,'=',15848.9,nM,Active,,15.85,CN(C)c1ccc(/C=C2/C(=O)N(c3ccc([N+](=O)[O-])cc3)N=C2N2CCOCC2)cc1,CN(C)c1ccc(/C=C2/C(=O)N(c3ccc([N+](=O)[O-])cc3)N=C2N2CCOCC2)cc1
